#chrom	strand	txStart	txEnd	exonCount	exonStarts	exonEnds	transcriptID	geneID	geneSymbol	biotype
chr1	-	11946	26929	4	11946,15988,24342,26866	13665,16090,24568,26929	ENSMUST00000164963	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	12093	26973	7	12093,15988,18746,19913,22174,24342,26866	13665,16090,18840,20106,22385,24568,26973	ENSMUST00000114410	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	12098	26369	7	12098,15988,18746,19913,22196,24342,26252	13665,16090,18840,20106,22385,24568,26369	ENSMUST00000161608	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	12917	75801	10	12917,15988,18746,19913,22196,24342,59712,69837,70444,72471	13665,16090,18840,20106,22385,24568,59766,69839,70512,75801	ENSMUST00000163061	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	13425	26893	4	13425,15988,24342,26866	13665,16090,24568,26893	ENSMUST00000159826	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	13537	20292	4	13537,15988,18746,19913	13665,16090,18840,20292	ENSMUST00000160614	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	13565	18947	3	13565,15988,18746	13665,16090,18947	ENSMUST00000163006	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	16899	26897	5	16899,19913,22174,24342,26866	18840,20106,22385,24568,26897	ENSMUST00000068000	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	18003	19826	1	18003	19826	ENSMUST00000189298	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	20411	26924	3	20411,24342,26866	22385,24568,26924	ENSMUST00000162410	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	20447	26924	2	20447,26866	24568,26924	ENSMUST00000160130	ENSMUSG00000054770	Kctd18	protein_coding
chr1	+	52816	82744	9	52816,54941,56809,58063,59739,70352,72204,76434,81629	53157,55066,56984,58140,59824,70587,74828,76587,82744	ENSMUST00000027202	ENSMUSG00000026039	Sgo2a	protein_coding
chr1	+	79561	82743	1	79561	82743	ENSMUST00000190746	ENSMUSG00000026039	Sgo2a	protein_coding
chr1	+	86776	163260	35	86776,98281,100387,103980,106208,110509,111493,113059,114259,114977,115880,116224,118041,118977,120217,122119,125115,125577,126886,130023,132909,134288,135271,138348,138857,142279,149339,151266,152000,153805,154711,159430,161164,161812,162875	86903,98338,100483,104088,106334,110570,111582,113139,114403,115069,116031,116317,118150,119161,120379,122211,125284,125691,127008,130119,133033,134421,135358,138434,139048,142506,149434,151394,152074,153857,154825,159495,161354,161979,163260	ENSMUST00000001027	ENSMUSG00000063558	Aox1	protein_coding
chr1	+	86809	127724	15	86809,98281,100387,103980,106208,110509,111493,113059,114259,114977,120217,122119,125115,125577,126886	86903,98338,100483,104088,106334,110570,111582,113139,114403,119161,120379,122211,125284,125691,127724	ENSMUST00000160168	ENSMUSG00000063558	Aox1	protein_coding
chr1	+	169977	171856	2	169977,171718	170159,171856	ENSMUST00000161549	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	169983	257545	35	169983,171718,175445,176328,177825,181865,184474,195063,198198,199517,203271,204041,207142,209401,209868,210327,215048,215752,216484,220196,222684,224450,226625,227504,228589,228968,233321,234366,236164,237453,240313,243124,245182,251473,257017	170159,171775,175541,176436,177951,181926,184554,195143,198342,199609,203422,204134,207251,209585,210030,210419,215217,215866,216606,220292,222808,224583,226712,227590,228780,229195,233416,234494,236238,237505,240427,243189,245370,251640,257545	ENSMUST00000040999	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	169985	178952	5	169985,171718,175445,176328,177825	170159,171775,175900,176436,178952	ENSMUST00000159014	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	170033	195969	8	170033,171718,175445,176328,177825,181865,184474,195063	170159,171775,175541,176436,177951,181926,184554,195969	ENSMUST00000162011	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	226471	229094	4	226471,227504,228589,228968	226712,227590,228780,229094	ENSMUST00000160815	ENSMUSG00000064294	Aox3	protein_coding
chr1	-	211828	211935	1	211828	211935	ENSMUST00000158650	ENSMUSG00000089275	Gm24548	snoRNA
chr1	+	267246	325446	35	267246,269871,274282,276836,278677,281015,284921,285703,287954,288330,290687,291968,293516,295966,297530,301909,302650,303088,304055,305697,306984,308914,310375,310758,310989,312324,314064,315891,319414,320192,320683,321191,321808,323477,324609	267477,269928,274378,276944,278803,281076,285004,285783,288098,288422,290838,292061,293628,296150,297692,302001,302819,303202,304177,305793,307108,309047,310462,310844,311180,312551,314159,316019,319488,320244,320797,321256,321993,323644,325446	ENSMUST00000040442	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	267281	317231	29	267281,269871,274282,276836,278677,281015,284921,285703,287954,288330,290687,291968,293516,295966,297530,301909,302650,303088,304055,305697,306984,308914,310375,310758,310989,312324,314064,315891,316767	267477,269928,274378,276944,278803,281076,285004,285783,288098,288422,290838,292061,293628,296150,297692,302001,302819,303202,304177,305793,307108,309047,310462,310844,311180,312551,314159,316019,317231	ENSMUST00000161833	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	267300	272259	3	267300,269871,271453	267477,269928,272259	ENSMUST00000159240	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	268067	270211	1	268067	270211	ENSMUST00000189059	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	297455	302010	2	297455,301909	297692,302010	ENSMUST00000161926	ENSMUSG00000038242	Aox4	protein_coding
chr1	-	310966	372505	6	310966,319317,332973,346258,355679,372083	313794,319465,333061,346351,355817,372505	ENSMUST00000161126	ENSMUSG00000089822	Gm15759	antisense
