#chrom	strand	txStart	txEnd	exonCount	exonStarts	exonEnds	transcriptID	geneID	geneSymbol	biotype
chr1	-	11946	26929	4	11946,15988,24342,26866	13665,16090,24568,26929	ENSMUST00000164963	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	12093	26973	7	12093,15988,18746,19913,22174,24342,26866	13665,16090,18840,20106,22385,24568,26973	ENSMUST00000114410	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	12098	26369	7	12098,15988,18746,19913,22196,24342,26252	13665,16090,18840,20106,22385,24568,26369	ENSMUST00000161608	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	12917	75801	10	12917,15988,18746,19913,22196,24342,59712,69837,70444,72471	13665,16090,18840,20106,22385,24568,59766,69839,70512,75801	ENSMUST00000163061	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	13425	26893	4	13425,15988,24342,26866	13665,16090,24568,26893	ENSMUST00000159826	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	13537	20292	4	13537,15988,18746,19913	13665,16090,18840,20292	ENSMUST00000160614	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	13565	18947	3	13565,15988,18746	13665,16090,18947	ENSMUST00000163006	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	16899	26897	5	16899,19913,22174,24342,26866	18840,20106,22385,24568,26897	ENSMUST00000068000	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	18003	19826	1	18003	19826	ENSMUST00000189298	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	20411	26924	3	20411,24342,26866	22385,24568,26924	ENSMUST00000162410	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	20447	26924	2	20447,26866	24568,26924	ENSMUST00000160130	ENSMUSG00000054770	Kctd18	protein_coding
chr1	+	52816	82744	9	52816,54941,56809,58063,59739,70352,72204,76434,81629	53157,55066,56984,58140,59824,70587,74828,76587,82744	ENSMUST00000027202	ENSMUSG00000026039	Sgo2a	protein_coding
chr1	+	79561	82743	1	79561	82743	ENSMUST00000190746	ENSMUSG00000026039	Sgo2a	protein_coding
chr1	+	86776	163262	35	86776,98281,100387,103980,106208,110509,111493,113059,114259,114977,115882,116226,118043,118979,120219,122121,125117,125579,126888,130025,132911,134290,135273,138350,138859,142281,149341,151268,152002,153807,154713,159432,161166,161812,162877	86903,98338,100483,104088,106334,110570,111582,113139,114403,115069,116033,116319,118152,119163,120381,122213,125286,125693,127010,130121,133035,134423,135360,138436,139050,142508,149436,151396,152076,153859,154827,159497,161354,161981,163262	ENSMUST00000001027	ENSMUSG00000063558	Aox1	protein_coding
chr1	+	86809	127726	15	86809,98281,100387,103980,106208,110509,111493,113059,114259,114977,120219,122121,125117,125579,126888	86903,98338,100483,104088,106334,110570,111582,113139,114403,119163,120381,122213,125286,125693,127726	ENSMUST00000160168	ENSMUSG00000063558	Aox1	protein_coding
chr1	+	169979	171858	2	169979,171720	170161,171858	ENSMUST00000161549	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	169985	257553	35	169985,171720,175447,176330,177827,181867,184476,195069,198204,199523,203277,204047,207148,209407,209874,210333,215054,215758,216490,220204,222692,224458,226633,227512,228597,228976,233329,234374,236172,237459,240319,243130,245188,251479,257025	170161,171777,175543,176438,177953,181928,184558,195149,198348,199615,203428,204140,207257,209591,210036,210425,215223,215872,216614,220300,222816,224591,226720,227598,228788,229203,233424,234502,236246,237511,240433,243195,245376,251646,257553	ENSMUST00000040999	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	169987	178954	5	169987,171720,175447,176330,177827	170161,171777,175902,176438,178954	ENSMUST00000159014	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	170035	195975	8	170035,171720,175447,176330,177827,181867,184476,195069	170161,171777,175543,176438,177953,181928,184558,195975	ENSMUST00000162011	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	226479	229102	4	226479,227512,228597,228976	226720,227598,228788,229102	ENSMUST00000160815	ENSMUSG00000064294	Aox3	protein_coding
chr1	-	211834	211941	1	211834	211941	ENSMUST00000158650	ENSMUSG00000089275	Gm24548	snoRNA
chr1	+	267254	325454	35	267254,269879,274290,276844,278685,281023,284929,285711,287962,288338,290695,291976,293524,295974,297538,301917,302658,303096,304063,305705,306992,308922,310383,310766,310997,312332,314072,315899,319422,320200,320691,321199,321816,323485,324617	267485,269936,274386,276952,278811,281084,285012,285791,288106,288430,290846,292069,293636,296158,297700,302009,302827,303210,304185,305801,307116,309055,310470,310852,311188,312559,314167,316027,319496,320252,320805,321264,322001,323652,325454	ENSMUST00000040442	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	267289	317239	29	267289,269879,274290,276844,278685,281023,284929,285711,287962,288338,290695,291976,293524,295974,297538,301917,302658,303096,304063,305705,306992,308922,310383,310766,310997,312332,314072,315899,316775	267485,269936,274386,276952,278811,281084,285012,285791,288106,288430,290846,292069,293636,296158,297700,302009,302827,303210,304185,305801,307116,309055,310470,310852,311188,312559,314167,316027,317239	ENSMUST00000161833	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	267308	272267	3	267308,269879,271461	267485,269936,272267	ENSMUST00000159240	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	268075	270219	1	268075	270219	ENSMUST00000189059	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	297463	302018	2	297463,301917	297700,302018	ENSMUST00000161926	ENSMUSG00000038242	Aox4	protein_coding
chr1	-	310974	372513	6	310974,319325,332981,346266,355687,372091	313802,319473,333069,346359,355825,372513	ENSMUST00000161126	ENSMUSG00000089822	Gm15759	antisense
