#chrom	strand	txStart	txEnd	exonCount	exonStarts	exonEnds	transcriptID	geneID	geneSymbol	biotype
chr1	-	11946	26929	4	11946,15988,24342,26866	13665,16090,24568,26929	ENSMUST00000164963	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	12093	26973	7	12093,15988,18746,19913,22174,24342,26866	13665,16090,18840,20106,22385,24568,26973	ENSMUST00000114410	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	12098	26369	7	12098,15988,18746,19913,22196,24342,26252	13665,16090,18840,20106,22385,24568,26369	ENSMUST00000161608	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	12917	75801	10	12917,15988,18746,19913,22196,24342,59712,69837,70444,72471	13665,16090,18840,20106,22385,24568,59766,69839,70512,75801	ENSMUST00000163061	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	13425	26893	4	13425,15988,24342,26866	13665,16090,24568,26893	ENSMUST00000159826	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	13537	20292	4	13537,15988,18746,19913	13665,16090,18840,20292	ENSMUST00000160614	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	13565	18947	3	13565,15988,18746	13665,16090,18947	ENSMUST00000163006	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	16899	26897	5	16899,19913,22174,24342,26866	18840,20106,22385,24568,26897	ENSMUST00000068000	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	18003	19826	1	18003	19826	ENSMUST00000189298	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	20411	26924	3	20411,24342,26866	22385,24568,26924	ENSMUST00000162410	ENSMUSG00000054770	Kctd18	protein_coding
chr1	-	20447	26924	2	20447,26866	24568,26924	ENSMUST00000160130	ENSMUSG00000054770	Kctd18	protein_coding
chr1	+	52816	82744	9	52816,54941,56809,58063,59739,70352,72204,76434,81629	53157,55066,56984,58140,59824,70587,74828,76587,82744	ENSMUST00000027202	ENSMUSG00000026039	Sgo2a	protein_coding
chr1	+	79561	82743	1	79561	82743	ENSMUST00000190746	ENSMUSG00000026039	Sgo2a	protein_coding
chr1	+	86776	163258	35	86776,98281,100387,103980,106208,110509,111493,113059,114259,114977,115880,116224,118041,118977,120217,122119,125115,125577,126886,130023,132909,134288,135271,138348,138857,142279,149339,151266,152000,153805,154711,159430,161164,161810,162873	86903,98338,100483,104088,106334,110570,111582,113139,114403,115069,116031,116317,118150,119161,120379,122211,125284,125691,127008,130119,133033,134421,135358,138434,139048,142506,149434,151394,152074,153857,154825,159495,161352,161977,163258	ENSMUST00000001027	ENSMUSG00000063558	Aox1	protein_coding
chr1	+	86809	127724	15	86809,98281,100387,103980,106208,110509,111493,113059,114259,114977,120217,122119,125115,125577,126886	86903,98338,100483,104088,106334,110570,111582,113139,114403,119161,120379,122211,125284,125691,127724	ENSMUST00000160168	ENSMUSG00000063558	Aox1	protein_coding
chr1	+	169975	171854	2	169975,171716	170157,171854	ENSMUST00000161549	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	169981	257545	35	169981,171716,175443,176326,177823,181863,184472,195061,198196,199515,203269,204039,207140,209399,209866,210325,215046,215750,216482,220194,222682,224448,226623,227502,228587,228966,233321,234366,236164,237453,240313,243124,245182,251473,257017	170157,171773,175539,176434,177949,181924,184552,195141,198340,199607,203420,204132,207249,209583,210028,210417,215215,215864,216604,220290,222806,224581,226710,227588,228778,229195,233416,234494,236238,237505,240427,243189,245370,251640,257545	ENSMUST00000040999	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	169983	178950	5	169983,171716,175443,176326,177823	170157,171773,175898,176434,178950	ENSMUST00000159014	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	170031	195967	8	170031,171716,175443,176326,177823,181863,184472,195061	170157,171773,175539,176434,177949,181924,184552,195967	ENSMUST00000162011	ENSMUSG00000064294	Aox3	protein_coding
chr1	+	226469	229094	4	226469,227502,228587,228966	226710,227588,228778,229094	ENSMUST00000160815	ENSMUSG00000064294	Aox3	protein_coding
chr1	-	211826	211933	1	211826	211933	ENSMUST00000158650	ENSMUSG00000089275	Gm24548	snoRNA
chr1	+	267247	325447	35	267247,269872,274283,276837,278678,281016,284922,285704,287955,288331,290688,291969,293517,295967,297531,301910,302651,303089,304056,305698,306985,308915,310376,310759,310990,312325,314065,315892,319415,320193,320684,321192,321809,323478,324610	267478,269929,274379,276945,278804,281077,285005,285784,288099,288423,290839,292062,293629,296151,297693,302002,302820,303203,304178,305794,307109,309048,310463,310845,311181,312552,314160,316020,319489,320245,320798,321257,321994,323645,325447	ENSMUST00000040442	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	267282	317232	29	267282,269872,274283,276837,278678,281016,284922,285704,287955,288331,290688,291969,293517,295967,297531,301910,302651,303089,304056,305698,306985,308915,310376,310759,310990,312325,314065,315892,316768	267478,269929,274379,276945,278804,281077,285005,285784,288099,288423,290839,292062,293629,296151,297693,302002,302820,303203,304178,305794,307109,309048,310463,310845,311181,312552,314160,316020,317232	ENSMUST00000161833	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	267301	272260	3	267301,269872,271454	267478,269929,272260	ENSMUST00000159240	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	268068	270212	1	268068	270212	ENSMUST00000189059	ENSMUSG00000038242	Aox4	protein_coding
chr1	+	297456	302011	2	297456,301910	297693,302011	ENSMUST00000161926	ENSMUSG00000038242	Aox4	protein_coding
chr1	-	310967	372506	6	310967,319318,332974,346259,355680,372084	313795,319466,333062,346352,355818,372506	ENSMUST00000161126	ENSMUSG00000089822	Gm15759	antisense
